Agricultura;Agricultura;Produção Agrícola;5.213.373.457,54
Comércio;Bens de Consumo e Varejo;Administração de Shoppings;24.631.513.330,11
;;Restaurantes;3.656.939.850,61
;;Supermercados e Atacados;34.722.030.184,94
;;Varejo Cosméticos e Medicamentos;69.111.444.185,85
;;Varejo de Moda e Assessórios;58.239.057.690,09
;;Varejo Diversos;142.807.060.149,91
;Tecnologia;Programa de Fidelidade;1.891.163.800,07
;;Varejo de Moda e Assessórios;1.780.753.513,11
Construção Civil;Imobiliário;Desenvolvimento Imobiliário;25.689.442.218,16
Financeiro;Bancos;Banco Corporate;23.532.904.625,86
;;Banco de Varejo;613.519.478.017,69
;Imobiliário;Investimentos Imobiliários;1.699.847.866,80
;Investimentos e Participações;Participações;61.024.108.223,80
;Seguros;Resseguros;7.594.731.471,80
;;Seguros Varejo;29.319.890.984,53
;Tecnologia;Análise de Crédito;2.115.287.792,56
;;Banco Digital;77.212.477.341,18
;;Bolsa de Valores;109.354.289.046,78
;;Meios de Pagamento;4.026.151.829,56
Industrial;Bens de Consumo e Varejo;Bebidas Alcoólicas;65.327.622.585,00
;Defesa;Armamentos;2.478.647.870,30
;;Aviação Civil e Militar;10.232.389.159,50
;Energia;Açúcar e Alcool;4.987.242.502,67
;Extração e Transformação;Materiais de Construção;6.810.690.502,03
;;Papel e Celulose;97.528.260.942,06
;Indústria Automobilística;Autopeças e Implementos;8.495.143.545,04
;Máquinas e Equipamentos Industriais;Máquinas e Equipamentos;1.775.412.479,50
;;Motores e Equipamentos Elétricos;57.366.095.805,96
;Petroquímico;Derivados de Petróleo;14.884.844.246,19
;;Extração de Petróleo;413.290.893.012,96
;Produção de Alimentos;Alimentos Industrializados;3.587.082.856,45
;;Carnes e Derivados;71.239.076.534,28
;Saúde;Fabricação de Medicamentos;13.042.705.382,40
;Tecnologia;Equipamentos de Informática e outros;2.362.772.684,40
Infraestrutura;Energia;Distribuição de Energia;11.030.958.207,92
;;Energia Integrada;81.669.492.843,67
;;Geração de Energia;34.651.782.142,47
;;Geração e Distribuição de Energia;615.099.562,35
;;Geração e Transmissão de Energia;54.858.846.839,72
;;Transmissão de Energia;19.128.878.202,30
;Extração e Transformação;Mineração e Metalurgia;597.721.642.932,81
;Investimentos e Participações;Mineração e Metalurgia;15.894.119.115,15
;"Logística, Distribuição e Concessões";Movimentação Portuária;9.250.196.699,37
;;Transporte Ferroviário;24.556.516.407,36
;;Transportes;16.402.343.884,56
;Saneamento;Água e Esgoto;27.531.927.610,20
;Telecomunicações;"Telefonia, TV, Internet e Dados";82.908.530.820,49
Serviços;Aluguel de Equipamentos;Aluguel de Carros;45.802.320.338,71
;;Aluguel de Equipamentos;2.353.145.536,15
;Comunicação;Mídia Digital;772.716.401,70
;Educação;Ensino Superior;34.669.319.152,99
;"Logística, Distribuição e Concessões";Armazenagem de Grãos;1.120.098.860,10
;;Desenvolvimento Imobiliário;1.787.555.848,20
;;Logística Rodoviária;6.395.816.356,38
;Petroquímico;Combustíveis;60.320.000.078,45
;Saúde;Clínicas de Estética;2.487.906.297,80
;;Corretagem de Seguros;8.781.428.715,71
;;Gestão Hospitalar;56.487.374.664,70
;;Medicina Diagnóstica;9.127.096.477,35
;;Seguros Varejo;67.764.624.928,08
;Serviços Industriais;Serviços de Resíduos e Emergências Ambientais;1.950.330.376,50
;Tecnologia;Software e Serviços Digitais;34.350.858.134,17
;;Varejo Diversos;1.704.283.877,70
Viagens e Turismo;Bens de Consumo e Varejo;Operadora de Turismo;3.869.036.664,12
;Tecnologia;Programa de Fidelidade;2.438.219.232,40
;Transporte Aéreo;Transporte de Passageiros;15.419.384.117,77
